Issue Type,Issue key,Issue id,Updated,Custom field (Epic Link),Created,Summary,Status,Resolution,Affects Version/s,Affects Version/s,Custom field (Story Points),Custom field (Epic Name),Labels,Labels,Labels,Labels,Labels,Labels,Labels,Component/s,Component/s,Custom field (Issue Resolution),Resolved,Sprint,Sprint,Custom field (Begin Date),Custom field (End Date),Fix Version/s,Outward issue link (Blocks),Outward issue link (Child-Issue),Outward issue link (Cloners),Outward issue link (Defect),Outward issue link (Dependent),Outward issue link (Dependent),Outward issue link (Gantt: finish-start),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates)
Story,AAKO-7359,1431898,17/May/18 10:24 AM,AAKO-3983,16/May/18 11:10 AM,Job creation for ad hoc comp statements,Open,,Spine,,,,Spine,,,,,,,Stark,,,,Stark - Bandhavgarh.4,,,,Spine,,,AAKO-7022,,,,,,,
Story,AAKO-7351,1425654,14/May/18 7:43 PM,AAKO-3977,14/May/18 5:53 PM,JnJ Draw missing Component Earning Adjustment,Open,,Spine,,,,Spine,,,,,,,Targaryen,,,,,,,,Spine,,,,,,,,,,
Story,AAKO-7338,1424288,14/May/18 10:23 AM,,14/May/18 10:14 AM,Detective/Audit Reporting - Portal Setup (Drill-Throughs/Links),Open,,Spine,,8.0,,FirstBU,Spine,,,,,,Mormont,,,,AAKO - Mormont - Bandhavgarh.4,,,,Spine,,,,,,,,,,
Story,AAKO-7336,1423992,14/May/18 9:19 AM,AAKO-2277,14/May/18 9:12 AM,Preventative Approvals - Harmonized  Announcement & Email Notifications,Open,,Spine,,,,Spine,,,,,,,Mormont,,,,,,,,Spine,,,,,,,,,,
Story,AAKO-7056,1413688,15/May/18 7:43 PM,AAKO-3983,09/May/18 12:36 PM,B.2 - Complete Portal View Testing for Remaining Internal Analyst Views,In Progress,,Spine,,2.0,,Spine,,,,,,,Stark,,,,Stark - Bandhavgarh.3,,,,Spine,,,AAKO-7021,,,,,,,
Story,AAKO-7036,1410727,14/May/18 9:15 AM,AAKO-2277,08/May/18 3:00 PM,Detective Reporting/Approvals - Approval Workflow & Notifications,Open,,Spine,,,,Spine,,,,,,,Mormont,,,,,,,,Spine,,,,,,,,,,
Story,AAKO-7028,1405815,11/May/18 8:45 AM,AAKO-3968,07/May/18 4:44 PM,Quota Kicker - Year-End Sales>= Quota Bonus w/ 40% H1 Advance,Open,,MIT,,,,Mitek,,,,,,,Lannister,,,,,,,,MIT,,,,,,,,,,
Story,AAKO-7026,1404630,10/May/18 2:41 PM,AAKO-3983,07/May/18 10:48 AM,B.4 Updates & Enhancements,Open,,Spine,,,,Spine,,,,,,,Stark,,,,AAKO - Stark - C.1,,,,Spine,,,AAKO-7022,,,,,,,
Story,AAKO-7022,1398773,17/May/18 11:13 AM,AAKO-3983,04/May/18 10:33 AM,B.3 Updates & Enhancements,Open,,Spine,,3.0,,Spine,,,,,,,Stark,,,,Stark - Bandhavgarh.4,,,,Spine,,,AAKO-7021,,,,,,,
Story,AAKO-7021,1398772,15/May/18 7:42 PM,AAKO-3983,04/May/18 10:31 AM,B.2 Updates & Enhancements,In Progress,,Spine,,5.0,,Spine,,,,,,,Stark,,,,Stark - Bandhavgarh.3,,,,Spine,,,AAKO-6310,,,,,,,
Story,AAKO-7020,1397021,14/May/18 9:30 AM,,04/May/18 1:21 AM,Data Uploads - RAW Portal View + Remap Post: PRM-Zip to Geography,Open,,Spine,,2.0,,,,,,,,,Mormont,,,,,,,,Spine,,,AAKO-7016,,,,,,,
Story,AAKO-7019,1397020,14/May/18 9:30 AM,,04/May/18 1:21 AM,Data Uploads - RAW Portal View + Remap Post: PRM-Shadow Hierarchy,Open,,Spine,,2.0,,,,,,,,,Mormont,,,,,,,,Spine,,,AAKO-7016,,,,,,,
Story,AAKO-7018,1397019,14/May/18 9:30 AM,,04/May/18 1:21 AM,Data Uploads - RAW Portal View + Remap Post: PRM-Plan to Components,Open,,Spine,,2.0,,,,,,,,,Mormont,,,,,,,,Spine,,,AAKO-7016,,,,,,,
Story,AAKO-7017,1397018,14/May/18 9:30 AM,,04/May/18 1:20 AM,Data Uploads - RAW Portal View + Remap Post: PRM-Participant to Plan,Open,,Spine,,2.0,,,,,,,,,Mormont,,,,,,,,Spine,,,AAKO-7016,,,,,,,
Story,AAKO-7016,1397017,14/May/18 9:30 AM,,04/May/18 1:19 AM,Data Uploads - RAW Portal View + Remap Post: PRM-Geography Master,Open,,Spine,,2.0,,,,,,,,,Mormont,,,,,,,,Spine,,,AAKO-7014,,,,,,,
Story,AAKO-7015,1397016,14/May/18 9:30 AM,,04/May/18 1:18 AM,Data Uploads - RAW Portal View + Remap Post: PRM-Geo Hierarchy,Open,,Spine,,2.0,,,,,,,,,Mormont,,,,,,,,Spine,,,AAKO-7014,,,,,,,
Story,AAKO-7014,1397014,14/May/18 9:30 AM,,04/May/18 1:18 AM,Data Uploads - RAW Portal View + Remap Post: PRM-Customer to Geo Individual,Open,,Spine,,2.0,,,,,,,,,Mormont,,,,,,,,Spine,,,AAKO-7013,,,,,,,
Story,AAKO-7013,1397013,14/May/18 9:30 AM,,04/May/18 1:16 AM,Data Uploads - RAW Portal View + Remap Post: PRM-Customer to Geography,Open,,Spine,,2.0,,,,,,,,,Mormont,,,,,,,,Spine,,,,,,,,,,
Story,AAKO-6998,1393332,08/May/18 10:15 AM,AAKO-3963,02/May/18 2:27 PM,Standard View for DPY and SYN to show the Sales with Surgeon ,Open,,Spine,,3.0,,Spine,,,,,,,Targaryen,,,,AAKO-Targaryen - C1,,,,Spine,,,,,,,,,,
Story,AAKO-6997,1392096,15/May/18 7:43 PM,AAKO-3982,02/May/18 10:30 AM,participant sales EDPY DTP,In Progress,,Spine,,5.0,,PI-B,,,,,,,Stark,,,,Stark - Bandhavgarh.3,,,,Spine,,,,,,,,,,
Story,AAKO-6994,1390263,09/May/18 9:54 AM,AAKO-28,01/May/18 1:46 PM,Participant -Dynamically credit Full Prior Year Sales for future months at processing month alignment,Open,,Spine,,,,,,,,,,,Lannister,,,,Lannister - C2,,,,Spine,,,,,,,,,,
Story,AAKO-6993,1390251,04/May/18 1:25 AM,AAKO-28,01/May/18 1:18 PM,Analyst View of Full Year Quota (With YTD Attainment) ,Open,,Spine,,,,Spine,,,,,,,Mormont,,,,,,,,Spine,,,,,AAKO-6697,AAKO-6990,,,,
Story,AAKO-6992,1390246,15/May/18 10:33 AM,AAKO-28,01/May/18 1:10 PM,GEO Dynamically credit quota for future months at processing month alignment (ED),Open,,MIT,,5.0,,ETH,MIT,,,,,,Targaryen,,,,,,,,MIT,,,,,,,,,,
Story,AAKO-6991,1390244,02/May/18 9:13 AM,AAKO-28,01/May/18 1:09 PM,Participant Credit quota for future months at processing month alignment (ED),Open,,MIT,,,,ETH,MIT,,,,,,Lannister,,,,,,,,MIT,,,,,AAKO-6992,,,,,
Story,AAKO-6990,1390243,10/May/18 1:25 PM,AAKO-28,01/May/18 1:07 PM,Participant Credit quota for future months at processing month alignment (SD),Open,,Spine,,,,Spine,,,,,,,Lannister,,,,Lannister - C2,,,,Spine,,,,,AAKO-6697,,,,,
Story,AAKO-6988,1389535,08/May/18 10:30 AM,AAKO-3963,01/May/18 11:16 AM,[PLACEHOLDER]  Apply changes needed post Invoice Number Harmonization,Open,,Spine,,3.0,,FirstBU,,,,,,,Targaryen,,,,,,,,Spine,,,,,AAKO-1299,AAKO-5987,,,,
Story,AAKO-6980,1389314,01/May/18 9:16 AM,AAKO-28,01/May/18 9:12 AM,Dynamically credit ZipCode quota for future months at processing month alignment,Open,,MIT,,,,MIT,,,,,,,Targaryen,,,,,,,,MIT,,,,,AAKO-6697,,,,,
Story,AAKO-6815,1376486,24/Apr/18 1:34 PM,AAKO-3968,24/Apr/18 1:32 PM,Extremity Specialist - True Up and Proration update (AAKO-415),Open,,Trauma,,,,,,,,,,,Targaryen,,,,,,,,Trauma,,,,,AAKO-415,AAKO-4638,,,,
Story,AAKO-6753,1374979,09/May/18 6:16 PM,AAKO-3963,24/Apr/18 8:34 AM,Update Invoice Realignment to Cancel and Realign in Closed Periods  ,Completed,Done,Spine,,8.0,,PI-B,Spine,,,,,,Targaryen,,Done,09/May/18 6:16 PM,AAKO-Targaryen - Bandhavgarh.2,,,,Spine,,,,,,,,,,
Story,AAKO-6750,1374007,25/Apr/18 9:45 AM,AAKO-22,23/Apr/18 2:15 PM,Zipcode Level Sales Adjustments ,Open,,MIT,,,,,,,,,,,Targaryen,,,,,,,,MIT,,,,,,,,,,
Story,AAKO-6749,1373385,24/Apr/18 8:02 AM,AAKO-3958,23/Apr/18 1:34 PM,Exceptions for Customer to Geography Primary Flag ,Open,,Trauma,,,,,,,,,,,Targaryen,,,,,,,,Trauma,,,,,AAKO-5991,,,,,
Story,AAKO-6715,1367462,26/Apr/18 11:44 AM,AAKO-3983,19/Apr/18 9:57 AM,B.1 Updates & Enhancements (pt 1),Completed,Done,Spine,,2.0,,Spine,,,,,,,Stark,,Done,26/Apr/18 11:44 AM,Stark - Bandhavgarh.1,,,,Spine,,,AAKO-6310,,,,,,,
Story,AAKO-6714,1366220,18/Apr/18 4:12 PM,AAKO-3983,18/Apr/18 4:10 PM,CPD: Earnings Drill Down Details for Growth: Sales Up To Baseline * Rate,Open,,MIT,,,,MIT,,,,,,,Stark,,,,,,,,MIT,,,AAKO-5129,,,,,,,
Story,AAKO-6713,1365630,18/Apr/18 2:04 PM,AAKO-4889,18/Apr/18 1:33 PM,Variable Comp: Load Recon Sales for inclusion in VC,Open,,Trauma,,,,DPS,,,,,,,Targaryen,,,,,,,,Trauma,,,,,,,,,,
Story,AAKO-6697,1362443,03/May/18 9:53 AM,AAKO-28,17/Apr/18 3:11 PM,Dynamically credit quota for future months at processing month alignment (SD),Open,,Spine,,5.0,,PI-B,Spine,,,,,,Targaryen,,,,AAKO-Targaryen - Bandhavgarh.4,,,,Spine,,,AAKO-6695,,,,,,,
Story,AAKO-6695,1362439,17/May/18 9:33 AM,AAKO-3983,17/Apr/18 2:53 PM,Need Report showing Full-year Quota & Baseline,Open,,Spine,,,,Spine,,,,,,,Stark,,,,AAKO - Stark - C.1,,,,Spine,,,,,,,,,,
Story,AAKO-6691,1361901,26/Apr/18 11:42 AM,,17/Apr/18 11:01 AM,Update Archival process for current progress dashboard sales & Quota,Completed,Done,Spine,,5.0,,Spine,,,,,,,Stark,,Done,26/Apr/18 11:42 AM,Stark - Bandhavgarh.1,,,,Spine,,,,,,,,,,
Story,AAKO-6683,1358291,18/Apr/18 11:25 AM,,16/Apr/18 10:16 AM,Internal Impersonation Ability - Sync up Read-Only Portal Views before Spine Go-Live,Open,,Spine,,,,FirstBU,,,,,,,Mormont,,,,,,,,Spine,,,,,,,,,,
Story,AAKO-6680,1358042,16/May/18 7:54 AM,AAKO-3984,16/Apr/18 8:38 AM,Statements - PAID Table setup (Lannister),Completed,Done,Spine,,3.0,,PI-B,Spine,,,,,,Stark,,Done,16/May/18 7:54 AM,Stark - Bandhavgarh.3,,,,Spine,,,,,,,,,,
Story,AAKO-6401,1349441,16/May/18 6:26 AM,AAKO-22,11/Apr/18 3:46 PM,[TESTING] Customer Sales Adjustment  - Participant SD Crediting Regression,Completed,Done,Spine,,5.0,,DPS,PI-B,,,,,,Targaryen,,Done,16/May/18 6:26 AM,AAKO-Targaryen - Bandhavgarh.2,AAKO-Targaryen - Bandhavgarh.3,,,Spine,,,,,,,,,,
Story,AAKO-6400,1349438,08/May/18 8:37 AM,AAKO-22,11/Apr/18 3:39 PM,Create Customer Sales Adjustments - Update SD Crediting Process ,Completed,Done,Spine,,3.0,,DPS,PI-B,,,,,,Targaryen,,Done,08/May/18 8:37 AM,AAKO-Targaryen - Bandhavgarh.2,,,,Spine,,,,,,,,,,
Story,AAKO-6399,1349435,25/Apr/18 4:19 PM,AAKO-22,11/Apr/18 3:35 PM,Create Customer Sales Adjustments - Select Customer Adj - Post for Deltas  SD,Completed,Done,Spine,,5.0,,DPS,,,,,,,Targaryen,,Done,25/Apr/18 4:19 PM,AAKO-Targaryen - Bandhavgarh.1,,,,Spine,,,,,AAKO-6179,,,,,
Story,AAKO-6398,1349431,16/May/18 5:27 PM,AAKO-22,11/Apr/18 3:29 PM,Update to GEO Sales Load - Force Product,Open,,Spine,,2.0,,DPS,PI-B,,,,,,Targaryen,,,,AAKO-Targaryen - Bandhavgarh.4,,,,Spine,,,,,,,,,,
Story,AAKO-6397,1349425,08/May/18 10:35 AM,AAKO-22,11/Apr/18 3:24 PM,Create Customer Sales Adjustments - Mtn & Process Adjustment Prod Hierarchy,Open,,Spine,,8.0,,DPS,,,,,,,Targaryen,,,,,,,,Spine,,,,,,,,,,
Story,AAKO-6377,1344790,23/Apr/18 12:19 PM,AAKO-4099,10/Apr/18 1:38 PM,Expansion Category RM and AVP Impact -Release Sales at EOY,Open,,Trauma,,,,DPS,,,,,,,Targaryen,,,,,,,,Trauma,,,,,AAKO-3864,AAKO-6376,,,,
Story,AAKO-6376,1344782,11/May/18 10:43 AM,AAKO-4099,10/Apr/18 1:34 PM,Expansion Category RM and AVP Impact - Roll-Up Sales and View Progress to add to VC- Analyst View,Open,,Spine,,5.0,,DPS,PI-B,,,,,,Targaryen,,,,AAKO-Targaryen - Bandhavgarh.3,,,,Spine,,,,,AAKO-3864,,,,,
Story,AAKO-6375,1344764,23/Apr/18 12:19 PM,AAKO-4099,10/Apr/18 1:25 PM,Quota Attainment: REP Level Core + Expansion Category  (EOY Add Sales to Core),Open,,Trauma,,,,DPS,,,,,,,Targaryen,,,,,,,,Trauma,,,,,AAKO-434,,,,,
Story,AAKO-6334,1331571,23/Apr/18 12:28 PM,AAKO-3958,05/Apr/18 9:58 AM,Customer to Geography Primary Flag - Ethicon Process  (4),Open,,ETH,,13.0,,Ethicon,,,,,,,Targaryen,,,,,,,,ETH,,,,,AAKO-5991,AAKO-6332,,,,
Story,AAKO-6333,1331562,17/May/18 8:29 AM,AAKO-3958,05/Apr/18 9:55 AM,Customer to Geography Primary Flag - SOX ,In Progress,,Spine,,5.0,,PI-B,Spine,,,,,,Targaryen,,,,AAKO-Targaryen - Bandhavgarh.3,,,,Spine,,,,,AAKO-5991,,,,,
Story,AAKO-6332,1331553,16/May/18 2:32 PM,AAKO-3958,05/Apr/18 9:49 AM,Customer to GEO Primary Flag Workflow,Open,,Spine,,8.0,,PI-B,Spine,,,,,,Targaryen,,,,AAKO-Targaryen - Bandhavgarh.4,,,,Spine,,,,,AAKO-5991,,,,,
Story,AAKO-6324,1326883,14/May/18 10:34 AM,AAKO-2277,04/Apr/18 1:47 PM,an approval workflow to approve all prior year sales adjustments,Open,,Spine,,8.0,,FirstBU,PI-B,,,,,,Mormont,,,,,,,,Spine,,,AAKO-4871,,,,,,,
Story,AAKO-6323,1326882,16/May/18 9:55 AM,AAKO-2277,04/Apr/18 1:46 PM,an approval workflow to approve all Payment Adjustments,Completed,Done,Spine,,8.0,,FirstBU,PI-B,,,,,,Mormont,,Done,16/May/18 9:55 AM,AAKO - Mormont - Bandhavgarh.3,,,,Spine,,,AAKO-4871,,,,,,,
Story,AAKO-6322,1326881,14/May/18 10:33 AM,AAKO-2277,04/Apr/18 1:45 PM,an approval workflow to approve all Sales Adjustments,Open,,Spine,,8.0,,FirstBU,PI-B,,,,,,Mormont,,,,AAKO - Mormont - Bandhavgarh.4,,,,Spine,,,AAKO-4871,,,,,,,
Story,AAKO-6320,1327214,26/Apr/18 11:43 AM,AAKO-3983,04/Apr/18 1:20 PM,Build Process to for Uploading Documents and Visibility in Portal,Completed,Done,Spine,,13.0,,DPS,FirstBU,,,,,,Stark,,Done,26/Apr/18 11:43 AM,Stark - Bandhavgarh.1,,,,Spine,,,AAKO-5041,,,,,,,
Story,AAKO-6314,1326955,20/Apr/18 9:41 AM,AAKO-4099,04/Apr/18 12:27 PM,Expansion Category:  Setup Parameters to link Exp Component to Quota Component,Completed,Done,Spine,,5.0,,FirstBU,,,,,,,Targaryen,,Done,20/Apr/18 9:41 AM,AAKO-Targaryen - Bandhavgarh.1,,,,Spine,,,,,,,,,,
Story,AAKO-6310,1325269,07/May/18 11:32 AM,AAKO-3983,04/Apr/18 10:55 AM,B.1 Updates & Enhancements (pt 2) - Invoice Realignment,Completed,Done,Spine,,3.0,,Spine,,,,,,,Stark,,Done,07/May/18 11:32 AM,Stark - Bandhavgarh.2,,,,Spine,,,AAKO-6204,,,,,,,
Story,AAKO-6307,1322950,24/Apr/18 6:41 PM,AAKO-4889,03/Apr/18 4:13 PM,Map Synthes Territory ID to DePuy Geography + Add UCN,Completed,Done,Spine,,8.0,,FirstBU,,,,,,,Targaryen,,Done,24/Apr/18 6:41 PM,AAKO-Targaryen - Bandhavgarh.1,,,,Spine,,,,,,,,,,
Story,AAKO-6233,1312718,12/Apr/18 7:11 AM,AAKO-4906,29/Mar/18 9:05 AM,Improving Portal Processing Time ,Completed,Done,Spine,,13.0,,spine,,,,,,,Lannister,,Done,12/Apr/18 7:11 AM,AAKO - Lannister -B'ghar.IP,,,,Spine,,,,,,,,,,
Story,AAKO-6208,1305746,15/May/18 5:27 PM,AAKO-16,27/Mar/18 12:11 PM,Enable ability to Inactivate WWID to Summary Records,Open,,Trauma,,,,DPS,,,,,,,Lannister,,,,,,,,Trauma,,,,,,,,,,
Story,AAKO-6207,1306201,06/Apr/18 11:26 AM,AAKO-3963,27/Mar/18 11:06 AM,Enhance Inv Realignment History,Completed,Done,Spine,,3.0,,FirstBU,,,,,,,Targaryen,,Done,06/Apr/18 11:26 AM,AAKO - Targaryen - Acadia.IP,,,,Spine,,,,,,,,,,
Story,AAKO-6205,1301997,26/Apr/18 9:20 AM,AAKO-4902,26/Mar/18 9:07 AM,Finalize & Standardize the columns shown in existing test portal views for each metric type (Y),Completed,Done,Spine,,8.0,,FirstBU,,,,,,,Lannister,,Done,26/Apr/18 9:20 AM,Lannister - Bandhavgarh.1,,,,Spine,,,,,,,,,,
Story,AAKO-6204,1301695,26/Apr/18 11:36 AM,AAKO-3983,26/Mar/18 7:59 AM,Field Portal - A.4 Updates & Enhancements,Completed,Done,Spine,,8.0,,Spine,,,,,,,Stark,,Done,26/Apr/18 11:36 AM,Stark - Bandhavgarh.1,,,,Spine,,,AAKO-5993,,,,,,,
Story,AAKO-6198,1298962,28/Mar/18 1:25 PM,AAKO-3963,23/Mar/18 9:38 AM,Prevent Invoice Realignment to upper hierarchy levels,Completed,Done,Spine,,5.0,,,,,,,,,Targaryen,,Done,28/Mar/18 1:25 PM,AAKO - Targaryen - Acadia.4,,,,Spine,,,,,,,,,,
Story,AAKO-6183,1296442,11/May/18 10:36 AM,AAKO-3963,22/Mar/18 10:40 AM,Upload Inv Realignment @ Invoice / Graft ID level including GEO,Open,,Spine,,13.0,,FirstBU,PI-B,,,,,,Targaryen,,,,AAKO-Targaryen - Bandhavgarh.3,,,,Spine,,,,,,,,,,
Story,AAKO-6182,1294424,27/Mar/18 5:42 PM,AAKO-4885,21/Mar/18 1:55 PM,"FIX - Enable ""SPN Lifenet Customer Crosswalk"" to receive new records",Completed,Done,Spine,,5.0,,FirstBU,,,,,,,Targaryen,,Done,27/Mar/18 5:42 PM,AAKO - Targaryen - Acadia.4,,,,Spine,,,,,,,,,,
Story,AAKO-6179,1292759,24/Apr/18 6:18 PM,AAKO-22,20/Mar/18 6:47 PM,Create Customer Sales Adjustments - Create Load Process,Completed,Done,Spine,,5.0,,FirstBU,,,,,,,Targaryen,,Done,24/Apr/18 6:18 PM,AAKO-Targaryen - Bandhavgarh.1,,,,Spine,,,,,,,,,,
Story,AAKO-6177,1289296,28/Mar/18 1:24 PM,AAKO-3963,19/Mar/18 5:55 PM,Non-Editable Historic view of Invoice Realignments,Completed,Done,Spine,,1.0,,FirstBU,,,,,,,Targaryen,,Done,28/Mar/18 1:24 PM,AAKO - Targaryen - Acadia.4,,,,Spine,,,,,,,,,,
Story,AAKO-6167,1285922,14/May/18 10:30 AM,AAKO-3963,16/Mar/18 2:22 PM,AUDIT: Invoice Realignment SOX Compliance Audit Report,Open,,Spine,,,,FirstBU,PI-B,,,,,,Mormont,,,,,,,,Spine,,,,,,,,,,
Story,AAKO-6166,1285154,26/Apr/18 11:36 AM,AAKO-3983,16/Mar/18 9:56 AM,DART Update: Inclusion of JDE AB Number columns & cross-reference link,Completed,Done,Spine,,13.0,,FirstBU,,,,,,,Stark,,Done,26/Apr/18 11:36 AM,Stark - Bandhavgarh.1,,,,Spine,,,,,,,,,,
Story,AAKO-6087,1282710,29/Mar/18 9:39 AM,AAKO-3983,15/Mar/18 11:20 AM,Enhancement Placeholder - all align Sales Transaction - DTP (Delta Logic) Part 5 ,Completed,Done,Spine,,5.0,,FirstBU,,,,,,,Stark,,Done,29/Mar/18 9:39 AM,AAKO - Stark - Acadia.4,,,,Spine,,,AAKO-6086,,,,,,,
Story,AAKO-6086,1282709,29/Mar/18 9:39 AM,AAKO-3983,15/Mar/18 11:20 AM,Enhancement Placeholder - all align Sales Transaction - DTP (Delta Logic) Part 4 ,Completed,Done,Spine,,5.0,,FirstBU,,,,,,,Stark,,Done,29/Mar/18 9:39 AM,AAKO - Stark - Acadia.4,,,,Spine,,,AAKO-6085,,,,,,,
Story,AAKO-6085,1282707,23/Mar/18 4:00 PM,AAKO-3983,15/Mar/18 11:19 AM,Enhancement Placeholder - all align Sales Transaction - DTP (Delta Logic) Part 3 ,Completed,Done,Spine,,5.0,,FirstBU,,,,,,,Stark,,Done,23/Mar/18 4:00 PM,AAKO - Stark - Acadia.4,,,,Spine,,,AAKO-6084,,,,,,,
Story,AAKO-6084,1282706,23/Mar/18 3:55 PM,AAKO-3983,15/Mar/18 11:19 AM,Enhancement Placeholder - all align Sales Transaction - DTP (Delta Logic) Part 2 ,Completed,Done,Spine,,5.0,,FirstBU,,,,,,,Stark,,Done,23/Mar/18 3:55 PM,AAKO - Stark - Acadia.4,,,,Spine,,,AAKO-5992,,,,,,,
Story,AAKO-5998,1282002,28/Mar/18 9:49 AM,AAKO-4906,15/Mar/18 8:20 AM,Apply Primary Geo flag to Component Earnings Adjustment process,Completed,Done,Spine,,13.0,,Spine,,,,,,,Lannister,,Done,28/Mar/18 9:49 AM,AAKO - Lannister - Acadia.4,,,,Spine,,,,,,,,,,
Story,AAKO-5996,1281878,23/Mar/18 10:44 AM,AAKO-4906,15/Mar/18 8:02 AM,Draw calculations Update for Mid-month start/end scenarios,Completed,Done,Spine,,5.0,,FirstBU,,,,,,,Lannister,,Done,23/Mar/18 10:44 AM,AAKO - Lannister - Acadia.4,,,,Spine,,,,,,,,,,
Story,AAKO-5993,1280680,27/Mar/18 3:11 PM,AAKO-3983,14/Mar/18 3:19 PM,Field Portal - A.3 Updates & Enhancements,Completed,Done,Spine,,1.0,,Spine,,,,,,,Stark,,Done,27/Mar/18 3:11 PM,AAKO - Stark - Acadia.4,,,,Spine,,,AAKO-5948,,,,,,,
Story,AAKO-5992,1276350,23/Mar/18 3:55 PM,AAKO-3983,13/Mar/18 2:35 PM,Enhancement Placeholder - all align Sales Transaction - DTP (Delta Logic) Part 1 ,Completed,Done,Spine,,5.0,,FirstBU,,,,,,,Stark,,Done,23/Mar/18 3:55 PM,AAKO - Stark - Acadia.4,,,,Spine,,,,,,,,,,
Story,AAKO-5991,1274048,25/Apr/18 4:11 PM,AAKO-3958,12/Mar/18 4:51 PM,Customer to Geography Primary Flag - MainStory Portal View / Bulk Upload,Completed,Done,Spine,,5.0,,Spine,,,,,,,Targaryen,,Done,25/Apr/18 4:11 PM,AAKO-Targaryen - Bandhavgarh.1,,,,Spine,,,,,,,,,,
Story,AAKO-5989,1269893,28/Mar/18 2:50 PM,AAKO-3963,09/Mar/18 3:09 PM,View and Mtn (Cancel) Previously Realigned Invoices,Completed,Done,Spine,,13.0,,FirstBU,,,,,,,Targaryen,,Done,28/Mar/18 2:50 PM,AAKO - Targaryen - Acadia.4,,,,Spine,,,,,AAKO-5778,,,,,
Story,AAKO-5954,1262478,24/Apr/18 8:38 PM,AAKO-3983,06/Mar/18 3:05 PM,Upload & Display Payout Calendars Section on FSO Portal,Completed,Done,Spine,,1.0,,CSS,DPS,Ethicon,FirstBU,,,,Stark,,Done,24/Apr/18 8:38 PM,Stark - Bandhavgarh.1,,,,Spine,,,AAKO-5953,,,,,,,
